,2,4,8,16,32,64,128,256,512
1,0.0320823,0.0234094,0.0233796,0.0233796,0.0233796,0.0233796,0.0233796,0.0233796,0.0233795
1.001,0.0322742,0.0235587,0.0235284,0.0235284,0.0235284,0.0235284,0.0235284,0.0235284,0.0235285
1.002,0.0324667,0.0237087,0.0236779,0.0236779,0.0236779,0.0236779,0.0236779,0.0236779,0.0236779
1.003,0.03266,0.0238592,0.023828,0.023828,0.023828,0.023828,0.023828,0.023828,0.023828
1.004,0.0328539,0.0240104,0.0239788,0.0239788,0.0239788,0.0239788,0.0239788,0.0239787,0.0239788
1.005,0.0330485,0.0241623,0.0241302,0.0241302,0.0241302,0.0241302,0.0241301,0.0241302,0.0241301
1.006,0.0332439,0.0243148,0.0242822,0.0242822,0.0242822,0.0242822,0.0242822,0.0242823,0.0242821
1.007,0.0334398,0.024468,0.0244349,0.0244349,0.0244349,0.0244348,0.0244349,0.0244349,0.0244349
1.008,0.0336365,0.0246218,0.0245882,0.0245882,0.0245882,0.0245882,0.0245882,0.0245882,0.0245882
1.009,0.0338339,0.0247763,0.0247422,0.0247422,0.0247422,0.0247422,0.0247422,0.0247422,0.0247422
1.01,0.0340319,0.0249314,0.0248968,0.0248968,0.0248968,0.0248968,0.0248968,0.0248967,0.0248968
1.011,0.0342307,0.0250872,0.025052,0.025052,0.025052,0.025052,0.025052,0.025052,0.025052
1.012,0.0344301,0.0252436,0.0252079,0.0252079,0.0252079,0.0252079,0.0252079,0.0252079,0.025208
1.013,0.0346303,0.0254007,0.0253645,0.0253645,0.0253645,0.0253645,0.0253645,0.0253645,0.0253644
1.014,0.0348311,0.0255584,0.0255217,0.0255217,0.0255217,0.0255217,0.0255217,0.0255217,0.0255217
1.015,0.0350326,0.0257169,0.0256796,0.0256796,0.0256796,0.0256796,0.0256795,0.0256796,0.0256796
1.016,0.0352348,0.0258759,0.0258381,0.025838,0.0258381,0.025838,0.025838,0.0258381,0.0258381
1.017,0.0354376,0.0260356,0.0259972,0.0259972,0.0259972,0.0259972,0.0259973,0.0259972,0.0259971
1.018,0.0356412,0.026196,0.026157,0.026157,0.026157,0.026157,0.026157,0.026157,0.026157
1.019,0.0358455,0.026357,0.0263175,0.0263175,0.0263175,0.0263175,0.0263175,0.0263175,0.0263175
