T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
1.010000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
1.020000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
1.030000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
1.040000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
1.050000,0.000000,0.987500,-3.900000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
1.060000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
1.070000,0.000000,1.000000,-4.000000,0.987500,-3.900000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.987500,-3.900000
1.080000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.987500,-3.900000,0.987500,-3.900000,1.000000,-4.000000
1.090000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.987500,-3.900000
1.100000,0.000000,1.000000,-4.000000,1.000000,-4.000000,0.975000,-3.850000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.987500,-3.900000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000
