T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.998633,-3.989844,0.998828,-3.990625,0.999219,-3.993750,0.999023,-3.992188,0.999023,-3.992188,0.999609,-3.996875,0.998828,-3.991406,0.999219,-3.993750,0.999219,-3.994531,0.999805,-3.998438
1.010000,0.000000,0.998828,-3.990625,0.999609,-3.996875,0.998828,-3.990625,0.999023,-3.992188,0.999609,-3.996875,0.999023,-3.992969,0.999023,-3.992188,0.999609,-3.996875,0.999805,-3.998438,0.999805,-3.998438
1.020000,0.000000,0.999805,-3.998438,0.999609,-3.997656,0.999414,-3.996094,0.998242,-3.987500,0.997852,-3.985937,0.998828,-3.991406,0.999414,-3.996094,0.999023,-3.992969,0.999219,-3.993750,0.999219,-3.994531
1.030000,0.000000,0.998047,-3.985937,0.999023,-3.992969,0.998242,-3.986719,0.999609,-3.996875,1.000000,-4.000000,0.999219,-3.993750,0.998437,-3.987500,0.999414,-3.995312,0.999609,-3.997656,0.998437,-3.988281
1.040000,0.000000,0.997852,-3.983594,0.998047,-3.985156,0.999219,-3.994531,0.999219,-3.993750,0.999609,-3.996875,0.998437,-3.988281,0.998828,-3.990625,0.999414,-3.995312,0.999414,-3.995312,0.999023,-3.992969
1.050000,0.000000,0.998828,-3.990625,0.998828,-3.992188,0.999023,-3.992188,0.998828,-3.992188,0.999023,-3.992188,0.999023,-3.992969,0.998633,-3.989844,0.999414,-3.996094,0.998633,-3.990625,0.999414,-3.995312
1.060000,0.000000,0.999414,-3.995312,0.998047,-3.985937,0.998633,-3.989844,0.998437,-3.989063,0.999219,-3.993750,0.999414,-3.995312,0.998437,-3.988281,0.998437,-3.987500,0.999805,-3.998438,0.998437,-3.988281
1.070000,0.000000,0.999023,-3.992969,0.999023,-3.992188,0.999609,-3.996875,0.998242,-3.986719,0.998242,-3.985937,0.998437,-3.988281,0.998437,-3.988281,0.998828,-3.990625,0.998242,-3.987500,0.998633,-3.989844
1.080000,0.000000,0.999023,-3.992188,0.997852,-3.985156,0.999219,-3.994531,0.998828,-3.992188,0.998242,-3.987500,0.998828,-3.990625,0.997266,-3.980469,0.999023,-3.992188,0.998828,-3.991406,0.997656,-3.982813
1.090000,0.000000,0.998633,-3.989844,0.999609,-3.996875,0.997656,-3.982813,0.998633,-3.989063,0.996680,-3.980469,0.997266,-3.979687,0.997852,-3.983594,0.998633,-3.990625,0.999023,-3.992188,0.999609,-3.997656
1.100000,0.000000,0.997852,-3.984375,0.998437,-3.989063,0.999219,-3.994531,0.999219,-3.994531,0.998437,-3.987500,0.999023,-3.992188,0.998437,-3.987500,0.997266,-3.979687,0.997852,-3.982813,0.998437,-3.988281
1.110000,0.000000,0.998828,-3.993750,0.998047,-3.985937,0.998047,-3.985156,0.997461,-3.981250,0.999023,-3.992188,0.999219,-3.994531,0.998828,-3.991406,0.997656,-3.982031,0.999023,-3.992969,0.997266,-3.979687
1.120000,0.000000,0.998242,-3.986719,0.998828,-3.991406,0.998242,-3.986719,0.998828,-3.990625,0.998047,-3.985156,0.997266,-3.978125,0.997656,-3.982031,0.998242,-3.985937,0.998437,-3.988281,0.997656,-3.983594
1.130000,0.000000,0.999219,-3.993750,0.997461,-3.983594,0.996289,-3.971875,0.997461,-3.982813,0.996875,-3.975781,0.998633,-3.989063,0.998633,-3.989844,0.999414,-3.995312,0.998047,-3.985156,0.998242,-3.989063
1.140000,0.000000,0.998047,-3.985156,0.998437,-3.988281,0.997656,-3.981250,0.997656,-3.982813,0.998047,-3.984375,0.998242,-3.986719,0.997461,-3.980469,0.997852,-3.983594,0.998633,-3.989844,0.998437,-3.988281
1.150000,0.000000,0.997266,-3.982031,0.997852,-3.983594,0.998047,-3.986719,0.998242,-3.986719,0.997070,-3.977344,0.996484,-3.977344,0.998242,-3.986719,0.999219,-3.993750,0.996680,-3.974219,0.998633,-3.990625
1.160000,0.000000,0.998633,-3.989063,0.998242,-3.985937,0.998047,-3.985156,0.998437,-3.989063,0.997070,-3.981250,0.995508,-3.968750,0.997852,-3.987500,0.997852,-3.983594,0.996484,-3.974219,0.996094,-3.970312
1.170000,0.000000,0.996875,-3.977344,0.996875,-3.975781,0.997070,-3.978125,0.997070,-3.978906,0.997852,-3.985156,0.997461,-3.982031,0.997852,-3.982813,0.997852,-3.982813,0.996680,-3.976563,0.997070,-3.977344
1.180000,0.000000,0.997070,-3.979687,0.996875,-3.977344,0.998047,-3.985156,0.998047,-3.984375,0.996484,-3.973438,0.997266,-3.979687,0.998242,-3.986719,0.997461,-3.981250,0.997266,-3.978125,0.997656,-3.982813
1.190000,0.000000,0.996094,-3.971875,0.995117,-3.964844,0.997070,-3.979687,0.997070,-3.978906,0.997266,-3.979687,0.998242,-3.985937,0.997461,-3.983594,0.997461,-3.981250,0.997852,-3.982813,0.997070,-3.976563
1.200000,0.000000,0.997656,-3.982031,0.995898,-3.970312,0.996875,-3.976563,0.997852,-3.983594,0.995703,-3.969531,0.996094,-3.971094,0.995703,-3.966406,0.996875,-3.976563,0.997852,-3.984375,0.997852,-3.983594
1.210000,0.000000,0.995117,-3.964062,0.995508,-3.966406,0.995898,-3.969531,0.996680,-3.975781,0.996289,-3.971094,0.997852,-3.982813,0.996680,-3.973438,0.998437,-3.989063,0.996875,-3.977344,0.997266,-3.980469
1.220000,0.000000,0.997266,-3.980469,0.995508,-3.969531,0.995313,-3.964062,0.995898,-3.974219,0.996094,-3.973438,0.996875,-3.975781,0.997070,-3.980469,0.997070,-3.977344,0.996680,-3.973438,0.996680,-3.973438
1.230000,0.000000,0.996094,-3.971094,0.996875,-3.977344,0.994922,-3.963281,0.993555,-3.954687,0.996875,-3.978125,0.994922,-3.963281,0.996680,-3.976563,0.996289,-3.972656,0.995117,-3.966406,0.994727,-3.960156
