T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999191,-3.993750,0.999338,-3.994983,0.999255,-3.994409,0.999277,-3.994617,0.999277,-3.994568,0.999255,-3.994470,0.999323,-3.994885,0.999280,-3.994629,0.999255,-3.994373,0.999228,-3.994214
1.010000,0.000000,0.999179,-3.993835,0.999173,-3.993823,0.999225,-3.994104,0.999225,-3.994141,0.999185,-3.993835,0.999265,-3.994409,0.999249,-3.994287,0.999173,-3.993726,0.999234,-3.994287,0.999295,-3.994568
1.020000,0.000000,0.999039,-3.992896,0.999088,-3.993115,0.999170,-3.993799,0.999164,-3.993701,0.999094,-3.993262,0.999158,-3.993591,0.999152,-3.993555,0.999155,-3.993640,0.999066,-3.992993,0.999100,-3.993164
1.030000,0.000000,0.999060,-3.993079,0.999011,-3.992700,0.999036,-3.992651,0.999176,-3.993689,0.999081,-3.993115,0.999094,-3.993225,0.999008,-3.992651,0.999075,-3.993140,0.998929,-3.991919,0.999115,-3.993372
1.040000,0.000000,0.999002,-3.992456,0.999136,-3.993481,0.998926,-3.991797,0.999054,-3.992883,0.999026,-3.992676,0.999100,-3.993201,0.999054,-3.992896,0.998929,-3.991870,0.998846,-3.991443,0.998917,-3.991895
1.050000,0.000000,0.998825,-3.991211,0.998926,-3.991882,0.998749,-3.990576,0.998871,-3.991577,0.998865,-3.991418,0.998895,-3.991785,0.998917,-3.991943,0.998898,-3.991772,0.998969,-3.992200,0.998801,-3.991052
1.060000,0.000000,0.998865,-3.991577,0.998694,-3.990308,0.998795,-3.991089,0.998584,-3.989563,0.998672,-3.989978,0.998840,-3.991284,0.998758,-3.990613,0.998752,-3.990771,0.998822,-3.991199,0.998669,-3.990076
1.070000,0.000000,0.998672,-3.990222,0.998611,-3.989600,0.998679,-3.990112,0.998730,-3.990405,0.998737,-3.990552,0.998776,-3.990906,0.998706,-3.990283,0.998807,-3.991016,0.998709,-3.990491,0.998593,-3.989526
1.080000,0.000000,0.998740,-3.990649,0.998761,-3.990808,0.998529,-3.989038,0.998557,-3.989185,0.998688,-3.990112,0.998560,-3.989331,0.998633,-3.989832,0.998621,-3.989697,0.998669,-3.990088,0.998639,-3.989758
1.090000,0.000000,0.998450,-3.988489,0.998514,-3.988904,0.998474,-3.988599,0.998441,-3.988416,0.998441,-3.988391,0.998633,-3.989746,0.998389,-3.987988,0.998468,-3.988660,0.998499,-3.988940,0.998419,-3.988171
1.100000,0.000000,0.998517,-3.988977,0.998477,-3.988721,0.998434,-3.988257,0.998349,-3.987573,0.998383,-3.988062,0.998425,-3.988196,0.998312,-3.987610,0.998328,-3.987610,0.998434,-3.988416,0.998376,-3.987952
1.110000,0.000000,0.998022,-3.985083,0.998474,-3.988696,0.998306,-3.987415,0.998203,-3.986792,0.998264,-3.987061,0.998166,-3.986462,0.998291,-3.987268,0.998459,-3.988477,0.998242,-3.986938,0.998224,-3.986731
1.120000,0.000000,0.998077,-3.986218,0.998151,-3.986157,0.998083,-3.985901,0.998215,-3.986609,0.998105,-3.985901,0.998169,-3.986499,0.998212,-3.986902,0.998209,-3.986804,0.998212,-3.986621,0.998160,-3.986157
1.130000,0.000000,0.998022,-3.985107,0.997855,-3.984167,0.997778,-3.983545,0.997977,-3.985034,0.998004,-3.985168,0.998114,-3.985815,0.998016,-3.985376,0.998010,-3.984985,0.998077,-3.985693,0.997998,-3.985120
1.140000,0.000000,0.997928,-3.984753,0.997977,-3.985010,0.997827,-3.983850,0.997781,-3.983728,0.997797,-3.983447,0.998050,-3.985449,0.997794,-3.983704,0.997791,-3.984009,0.997797,-3.983801,0.997882,-3.984399
1.150000,0.000000,0.997968,-3.985083,0.997736,-3.983252,0.997885,-3.984253,0.997650,-3.982568,0.997635,-3.982434,0.997778,-3.983972,0.997668,-3.982861,0.997720,-3.983167,0.997885,-3.984082,0.997858,-3.984033
