T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999170,-3.993945,0.999463,-3.995898,0.999231,-3.994238,0.999255,-3.994434,0.999438,-3.995605,0.999255,-3.994287,0.999121,-3.993311,0.999329,-3.994775,0.999341,-3.995068,0.999231,-3.994336
1.010000,0.000000,0.999341,-3.994873,0.999182,-3.993799,0.999304,-3.994678,0.999133,-3.993457,0.999109,-3.993311,0.999207,-3.993896,0.999194,-3.994043,0.999036,-3.992627,0.998914,-3.992090,0.999329,-3.994775
1.020000,0.000000,0.999048,-3.992871,0.999182,-3.993750,0.999023,-3.992676,0.998962,-3.992090,0.999084,-3.993408,0.999292,-3.994531,0.999023,-3.992822,0.998999,-3.992480,0.999255,-3.994385,0.999316,-3.995020
1.030000,0.000000,0.999170,-3.993848,0.999023,-3.992627,0.999170,-3.993555,0.999084,-3.993115,0.999048,-3.992920,0.998950,-3.992139,0.998962,-3.992432,0.999084,-3.993018,0.999023,-3.992578,0.999109,-3.993408
1.040000,0.000000,0.999146,-3.993555,0.999109,-3.993164,0.998730,-3.990723,0.999011,-3.992578,0.999170,-3.993652,0.999048,-3.992773,0.999097,-3.993164,0.998914,-3.991895,0.999084,-3.993018,0.999060,-3.992871
1.050000,0.000000,0.998682,-3.990283,0.998914,-3.991992,0.998779,-3.990869,0.998877,-3.991602,0.999023,-3.992676,0.999011,-3.992285,0.998950,-3.991748,0.998547,-3.989160,0.998657,-3.990039,0.998853,-3.991357
1.060000,0.000000,0.998584,-3.989502,0.998767,-3.990576,0.998743,-3.990771,0.998779,-3.990625,0.998816,-3.991113,0.998901,-3.991846,0.999011,-3.992627,0.998694,-3.990479,0.999011,-3.992383,0.998584,-3.989404
1.070000,0.000000,0.998938,-3.992090,0.998486,-3.988818,0.998755,-3.991113,0.999072,-3.993115,0.998755,-3.990771,0.998608,-3.989844,0.998779,-3.990723,0.998633,-3.989941,0.998633,-3.990332,0.998938,-3.991846
1.080000,0.000000,0.998608,-3.989600,0.998840,-3.991064,0.998804,-3.990967,0.998450,-3.988330,0.998462,-3.988770,0.998706,-3.990234,0.998706,-3.990039,0.998657,-3.989941,0.998401,-3.988281,0.998621,-3.989600
1.090000,0.000000,0.998816,-3.991162,0.998633,-3.989795,0.998437,-3.987891,0.998437,-3.988721,0.998743,-3.990625,0.998682,-3.990381,0.998437,-3.988135,0.998169,-3.986328,0.998474,-3.988672,0.998572,-3.989355
1.100000,0.000000,0.998413,-3.988281,0.998499,-3.988770,0.998718,-3.990234,0.998230,-3.987012,0.998291,-3.987451,0.998303,-3.987354,0.998560,-3.989307,0.998694,-3.989893,0.998315,-3.987793,0.998730,-3.990527
1.110000,0.000000,0.998010,-3.985303,0.998352,-3.987549,0.998462,-3.988916,0.998364,-3.987988,0.998291,-3.987354,0.998145,-3.986133,0.998389,-3.987842,0.998328,-3.987549,0.998376,-3.987891,0.997986,-3.985400
1.120000,0.000000,0.998059,-3.985693,0.998206,-3.986816,0.998145,-3.986230,0.997766,-3.983838,0.998059,-3.985596,0.998169,-3.986523,0.998059,-3.985937,0.998145,-3.986475,0.998352,-3.987549,0.998218,-3.986475
1.130000,0.000000,0.998254,-3.986816,0.998315,-3.987305,0.998108,-3.985986,0.998083,-3.985693,0.997778,-3.983789,0.998279,-3.987256,0.998022,-3.984814,0.998242,-3.986475,0.998145,-3.986377,0.998169,-3.986475
1.140000,0.000000,0.997986,-3.984961,0.997668,-3.982520,0.997546,-3.981738,0.997644,-3.982373,0.997839,-3.983984,0.997852,-3.984375,0.997949,-3.985400,0.998230,-3.986816,0.997839,-3.983887,0.997778,-3.983691
1.150000,0.000000,0.997791,-3.983252,0.997705,-3.982959,0.997339,-3.980371,0.997717,-3.982764,0.997913,-3.984424,0.997363,-3.980420,0.997656,-3.982617,0.997974,-3.984619,0.997766,-3.984082,0.997400,-3.981299
1.160000,0.000000,0.997742,-3.982813,0.997644,-3.982568,0.997815,-3.983887,0.997888,-3.984473,0.997559,-3.981689,0.997827,-3.983691,0.997278,-3.979834,0.997229,-3.979053,0.997974,-3.985303,0.997754,-3.983252
1.170000,0.000000,0.997473,-3.981055,0.997351,-3.980615,0.997888,-3.984277,0.997314,-3.980225,0.997571,-3.981787,0.997815,-3.983252,0.997119,-3.978369,0.997351,-3.980273,0.997485,-3.981006,0.997559,-3.981787
1.180000,0.000000,0.997437,-3.980127,0.997241,-3.979004,0.997351,-3.980566,0.997205,-3.979150,0.997485,-3.980762,0.997131,-3.978516,0.997559,-3.981396,0.997473,-3.980664,0.997400,-3.980176,0.997290,-3.979297
1.190000,0.000000,0.997339,-3.980273,0.997192,-3.979297,0.996790,-3.976660,0.996777,-3.976855,0.997144,-3.978613,0.996973,-3.977979,0.996777,-3.975830,0.997192,-3.979053,0.996667,-3.975732,0.997107,-3.978662
1.200000,0.000000,0.996851,-3.977148,0.997058,-3.978027,0.996997,-3.977637,0.997021,-3.978223,0.996936,-3.977197,0.997009,-3.978320,0.997339,-3.979883,0.997083,-3.978613,0.997095,-3.978418,0.997217,-3.979980
1.210000,0.000000,0.996619,-3.975244,0.996741,-3.975781,0.996667,-3.975391,0.996765,-3.975781,0.996460,-3.973975,0.996655,-3.975342,0.996753,-3.976270,0.996692,-3.975781,0.996704,-3.975293,0.996960,-3.977686
1.220000,0.000000,0.997253,-3.979395,0.996619,-3.974902,0.996387,-3.974414,0.996289,-3.973340,0.996497,-3.974902,0.996436,-3.973633,0.996875,-3.977148,0.996448,-3.974414,0.996667,-3.975977,0.996692,-3.975537
1.230000,0.000000,0.996423,-3.973926,0.996375,-3.973047,0.996411,-3.973584,0.995874,-3.970312,0.996570,-3.974756,0.996521,-3.973926,0.996570,-3.974609,0.996277,-3.972363,0.996301,-3.973193,0.996399,-3.973877
1.240000,0.000000,0.995984,-3.970508,0.995789,-3.969775,0.996350,-3.973389,0.995850,-3.970117,0.995728,-3.968799,0.996350,-3.973535,0.996777,-3.976172,0.996313,-3.973193,0.996143,-3.971582,0.996094,-3.971631
1.250000,0.000000,0.995752,-3.969482,0.995935,-3.970312,0.996106,-3.971240,0.995801,-3.969678,0.996265,-3.972949,0.996008,-3.970361,0.995935,-3.970898,0.996326,-3.973096,0.995911,-3.970361,0.996082,-3.971436
1.260000,0.000000,0.995642,-3.968652,0.995325,-3.966357,0.995630,-3.968408,0.995959,-3.970605,0.995715,-3.969531,0.995581,-3.968457,0.995618,-3.968066,0.995618,-3.968506,0.995593,-3.968262,0.995886,-3.970117
1.270000,0.000000,0.995703,-3.968652,0.995435,-3.966211,0.995776,-3.969189,0.995801,-3.969287,0.995728,-3.968555,0.995178,-3.965283,0.995947,-3.970068,0.995032,-3.964600,0.995081,-3.964551,0.995190,-3.965576
1.280000,0.000000,0.995447,-3.966406,0.995276,-3.965479,0.995581,-3.968652,0.995813,-3.969922,0.995166,-3.965332,0.995056,-3.963184,0.995447,-3.966602,0.994971,-3.963770,0.995386,-3.966064,0.994885,-3.963184
1.290000,0.000000,0.995166,-3.964648,0.994751,-3.961475,0.994873,-3.962744,0.994849,-3.962109,0.994641,-3.961963,0.994812,-3.963184,0.994690,-3.961377,0.994922,-3.963916,0.995337,-3.966064,0.995105,-3.964355
1.300000,0.000000,0.994800,-3.962158,0.994263,-3.959180,0.995056,-3.963477,0.994824,-3.961865,0.994849,-3.961963,0.994519,-3.960840,0.994836,-3.962939,0.993921,-3.956201,0.994446,-3.959961,0.994690,-3.962012
1.310000,0.000000,0.993579,-3.954395,0.994739,-3.961475,0.994751,-3.961865,0.994763,-3.962354,0.994019,-3.957471,0.994543,-3.960742,0.994556,-3.960742,0.994458,-3.960107,0.994482,-3.960303,0.994690,-3.961377
1.320000,0.000000,0.993970,-3.956348,0.993811,-3.956250,0.993884,-3.955908,0.993445,-3.953613,0.994617,-3.960400,0.994019,-3.957520,0.993640,-3.955127,0.994067,-3.958203,0.994641,-3.960596,0.993835,-3.956885
1.330000,0.000000,0.993579,-3.953613,0.992969,-3.951025,0.993518,-3.953955,0.993970,-3.956543,0.993542,-3.953711,0.993542,-3.954053,0.993237,-3.951611,0.993408,-3.952637,0.993982,-3.957080,0.993408,-3.951855
1.340000,0.000000,0.993774,-3.955176,0.993347,-3.951807,0.993591,-3.954736,0.993213,-3.950684,0.992871,-3.950244,0.993213,-3.950391,0.993567,-3.953711,0.994019,-3.956592,0.993445,-3.953076,0.993469,-3.952832
