T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999512,-3.996484,0.999023,-3.992188,0.999219,-3.993945,0.999707,-3.997852,0.999365,-3.994922,0.999463,-3.995703,0.999268,-3.994531,0.999414,-3.995312,0.999365,-3.995312,0.999512,-3.996289
1.010000,0.000000,0.998975,-3.991992,0.998828,-3.991406,0.999365,-3.995117,0.999023,-3.992383,0.999023,-3.992578,0.999316,-3.994922,0.999316,-3.995117,0.998877,-3.991406,0.999512,-3.996289,0.999023,-3.992773
1.020000,0.000000,0.998877,-3.991992,0.999121,-3.993164,0.999268,-3.994531,0.998926,-3.992188,0.999414,-3.995508,0.999023,-3.992383,0.998877,-3.991602,0.999414,-3.995508,0.999316,-3.994727,0.999658,-3.997266
1.030000,0.000000,0.998926,-3.992188,0.998877,-3.991211,0.999219,-3.994141,0.999414,-3.995703,0.998975,-3.992773,0.998779,-3.990430,0.998975,-3.992188,0.998779,-3.991016,0.998682,-3.990820,0.999072,-3.992969
1.040000,0.000000,0.999365,-3.995312,0.999170,-3.993945,0.998633,-3.989648,0.999072,-3.992773,0.998486,-3.988672,0.999463,-3.995703,0.999121,-3.993555,0.999463,-3.995703,0.999121,-3.992969,0.999072,-3.992773
1.050000,0.000000,0.998584,-3.989258,0.999023,-3.993164,0.998779,-3.991211,0.998828,-3.991602,0.998633,-3.989258,0.998730,-3.990625,0.998584,-3.989453,0.998877,-3.991406,0.998730,-3.990039,0.998340,-3.987695
1.060000,0.000000,0.999072,-3.992578,0.998242,-3.987305,0.998633,-3.989844,0.998682,-3.990625,0.998779,-3.990625,0.999023,-3.992383,0.998682,-3.989648,0.999072,-3.992773,0.998584,-3.989453,0.998926,-3.991992
1.070000,0.000000,0.998145,-3.987500,0.998730,-3.990625,0.998486,-3.988867,0.998730,-3.990234,0.998682,-3.989844,0.998047,-3.985547,0.999170,-3.993555,0.998877,-3.991406,0.999072,-3.992773,0.998633,-3.989648
1.080000,0.000000,0.998682,-3.990234,0.997900,-3.985352,0.998633,-3.989648,0.998242,-3.986914,0.998682,-3.990234,0.998730,-3.990039,0.998389,-3.987891,0.998730,-3.990039,0.998486,-3.988477,0.998828,-3.991211
1.090000,0.000000,0.998779,-3.990820,0.998975,-3.991992,0.998535,-3.988672,0.998242,-3.986523,0.998633,-3.989844,0.998779,-3.990625,0.997705,-3.983789,0.998486,-3.988281,0.998242,-3.986719,0.997949,-3.984570
1.100000,0.000000,0.998096,-3.985742,0.998096,-3.985547,0.998633,-3.990039,0.998633,-3.989844,0.998389,-3.988281,0.998389,-3.987500,0.998437,-3.988281,0.998437,-3.987891,0.998584,-3.989258,0.998389,-3.987695
1.110000,0.000000,0.998535,-3.988672,0.998779,-3.991211,0.998486,-3.988281,0.998730,-3.990234,0.998779,-3.990430,0.998193,-3.987695,0.998145,-3.985742,0.998389,-3.987695,0.997998,-3.984961,0.998486,-3.988672
1.120000,0.000000,0.998047,-3.985156,0.997900,-3.984375,0.997852,-3.984570,0.998291,-3.986914,0.998535,-3.989063,0.998096,-3.985742,0.998633,-3.990430,0.998242,-3.987109,0.998047,-3.985742,0.997363,-3.979883
1.130000,0.000000,0.998291,-3.987305,0.997900,-3.983398,0.997510,-3.982227,0.997754,-3.984180,0.998633,-3.989844,0.997852,-3.983789,0.998682,-3.989648,0.997656,-3.982617,0.997754,-3.983789,0.998633,-3.989453
1.140000,0.000000,0.997656,-3.982031,0.997852,-3.984375,0.998584,-3.989063,0.997705,-3.983984,0.997949,-3.985352,0.997314,-3.981250,0.998389,-3.987695,0.998389,-3.987500,0.997900,-3.984375,0.997607,-3.981836
1.150000,0.000000,0.997412,-3.981641,0.997021,-3.978906,0.997852,-3.984570,0.998389,-3.987305,0.997852,-3.983594,0.998535,-3.989063,0.997607,-3.983789,0.997998,-3.984375,0.997949,-3.984961,0.998047,-3.985156
1.160000,0.000000,0.997412,-3.981055,0.998291,-3.987109,0.997266,-3.979492,0.996191,-3.972461,0.997656,-3.982617,0.998682,-3.989844,0.997656,-3.983008,0.997559,-3.981836,0.997754,-3.983008,0.997510,-3.981250
1.170000,0.000000,0.997754,-3.983984,0.997803,-3.983984,0.997998,-3.984766,0.998242,-3.986719,0.997119,-3.978516,0.997852,-3.983984,0.997461,-3.981250,0.996387,-3.975195,0.997852,-3.984570,0.998340,-3.988086
1.180000,0.000000,0.997217,-3.979687,0.997021,-3.978516,0.996680,-3.976563,0.997607,-3.981445,0.997803,-3.983398,0.996631,-3.974609,0.998047,-3.985156,0.998096,-3.985352,0.997266,-3.979883,0.996973,-3.978906
1.190000,0.000000,0.997803,-3.983008,0.996777,-3.975195,0.998145,-3.985742,0.996826,-3.976953,0.996777,-3.976172,0.997119,-3.979883,0.996924,-3.978516,0.996826,-3.977148,0.997168,-3.978711,0.996729,-3.975586
1.200000,0.000000,0.996631,-3.975781,0.997314,-3.980078,0.997412,-3.980469,0.997119,-3.978711,0.997070,-3.978125,0.997119,-3.978516,0.997461,-3.981445,0.996484,-3.973828,0.997119,-3.979492,0.996338,-3.975781
1.210000,0.000000,0.996826,-3.976172,0.997119,-3.978711,0.995996,-3.970117,0.995996,-3.971484,0.997412,-3.980469,0.995947,-3.970312,0.996533,-3.974805,0.997607,-3.982617,0.996680,-3.975195,0.997461,-3.980469
1.220000,0.000000,0.996143,-3.972266,0.996387,-3.975586,0.995459,-3.968750,0.997266,-3.979687,0.996484,-3.974609,0.996631,-3.975391,0.997070,-3.977930,0.996631,-3.975195,0.996777,-3.977148,0.997266,-3.979297
1.230000,0.000000,0.996680,-3.975391,0.996729,-3.975195,0.995850,-3.969531,0.996143,-3.971875,0.996973,-3.978125,0.996729,-3.974609,0.996143,-3.972070,0.996729,-3.975586,0.996436,-3.973438,0.996143,-3.971094
1.240000,0.000000,0.996143,-3.971484,0.995752,-3.968945,0.995557,-3.968945,0.996729,-3.975391,0.996240,-3.972070,0.996680,-3.975000,0.995361,-3.966406,0.996484,-3.975000,0.996875,-3.976172,0.996680,-3.975781
1.250000,0.000000,0.996191,-3.972852,0.996143,-3.971875,0.996240,-3.972461,0.996045,-3.970508,0.996094,-3.971289,0.995850,-3.971289,0.995605,-3.968555,0.996582,-3.974805,0.995850,-3.970312,0.995557,-3.966797
1.260000,0.000000,0.995410,-3.965430,0.995313,-3.966016,0.995117,-3.963867,0.995654,-3.968945,0.996729,-3.976367,0.995996,-3.971094,0.995654,-3.970117,0.995801,-3.967773,0.995996,-3.971289,0.996191,-3.974219
1.270000,0.000000,0.995215,-3.963477,0.995361,-3.965430,0.995117,-3.963867,0.995410,-3.965234,0.994482,-3.958398,0.994727,-3.962109,0.996680,-3.976758,0.994678,-3.961328,0.994238,-3.960352,0.995703,-3.968359
1.280000,0.000000,0.995898,-3.970703,0.995166,-3.963672,0.995410,-3.968164,0.994287,-3.958008,0.994043,-3.959570,0.994434,-3.961719,0.995605,-3.968945,0.995605,-3.967578,0.994873,-3.965430,0.995752,-3.968555
1.290000,0.000000,0.994238,-3.959961,0.994629,-3.961523,0.995752,-3.968359,0.993604,-3.953906,0.994189,-3.959961,0.994531,-3.959961,0.995508,-3.967578,0.995459,-3.966992,0.995117,-3.963867,0.994531,-3.961523
1.300000,0.000000,0.995313,-3.965039,0.994727,-3.962305,0.995068,-3.964648,0.995654,-3.967773,0.994336,-3.957617,0.994922,-3.965820,0.996240,-3.971875,0.993701,-3.955273,0.994287,-3.959570,0.994141,-3.959375
1.310000,0.000000,0.994678,-3.960547,0.994629,-3.959570,0.993750,-3.955273,0.994238,-3.957227,0.993750,-3.958203,0.994189,-3.958984,0.994629,-3.959961,0.995508,-3.968945,0.994531,-3.960352,0.993848,-3.956641
1.320000,0.000000,0.993555,-3.955273,0.994238,-3.959375,0.994678,-3.959961,0.993994,-3.956250,0.993359,-3.952344,0.993115,-3.952148,0.994922,-3.963086,0.993408,-3.952148,0.994287,-3.959180,0.993018,-3.950781
