T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999175,-3.993728,0.999447,-3.995725,0.999235,-3.994162,0.999208,-3.994141,0.999306,-3.994727,0.999333,-3.995074,0.999376,-3.995312,0.999344,-3.995052,0.999300,-3.994770,0.999376,-3.995247
1.010000,0.000000,0.999181,-3.993837,0.999197,-3.993859,0.999137,-3.993641,0.999278,-3.994510,0.999262,-3.994531,0.999181,-3.993772,0.999344,-3.995009,0.999268,-3.994336,0.999295,-3.994727,0.999213,-3.994184
1.020000,0.000000,0.999235,-3.994314,0.999170,-3.993663,0.999083,-3.993121,0.999067,-3.993164,0.999116,-3.993381,0.999078,-3.993164,0.999061,-3.993012,0.999116,-3.993381,0.999116,-3.993338,0.999072,-3.993056
1.030000,0.000000,0.999078,-3.993164,0.999175,-3.993902,0.999127,-3.993403,0.999018,-3.992773,0.999029,-3.992708,0.999034,-3.992730,0.999154,-3.993533,0.999034,-3.992752,0.999007,-3.992578,0.999072,-3.993099
1.040000,0.000000,0.999132,-3.993511,0.999235,-3.994141,0.998844,-3.991406,0.999105,-3.993424,0.998823,-3.991298,0.998855,-3.991536,0.998671,-3.990408,0.999078,-3.993338,0.999013,-3.992600,0.998947,-3.992036
1.050000,0.000000,0.998709,-3.990321,0.998915,-3.991819,0.998991,-3.992491,0.998893,-3.991797,0.998758,-3.990864,0.998861,-3.991536,0.998915,-3.991862,0.998785,-3.991037,0.998915,-3.991775,0.998915,-3.991884
1.060000,0.000000,0.998768,-3.990972,0.998530,-3.989345,0.998817,-3.991254,0.998741,-3.990430,0.998910,-3.991753,0.998665,-3.990299,0.998996,-3.992448,0.998893,-3.991753,0.998796,-3.991037,0.998996,-3.992405
1.070000,0.000000,0.998834,-3.991146,0.998671,-3.990061,0.998904,-3.991797,0.998671,-3.990104,0.998828,-3.991189,0.998633,-3.990017,0.998806,-3.991102,0.998600,-3.989540,0.998806,-3.990842,0.998459,-3.988628
1.080000,0.000000,0.998682,-3.990126,0.998692,-3.990408,0.998573,-3.989540,0.998649,-3.990039,0.998676,-3.990061,0.998617,-3.989583,0.998660,-3.990082,0.998774,-3.990625,0.998606,-3.989670,0.998617,-3.989714
1.090000,0.000000,0.998687,-3.989996,0.998329,-3.987609,0.998394,-3.988433,0.998389,-3.987934,0.998497,-3.989019,0.998286,-3.987391,0.998220,-3.987174,0.998655,-3.990061,0.998448,-3.988238,0.998562,-3.989345
1.100000,0.000000,0.998302,-3.987370,0.998400,-3.988151,0.998400,-3.987869,0.998351,-3.987869,0.998519,-3.988759,0.998340,-3.987500,0.998362,-3.987999,0.998475,-3.988455,0.998497,-3.988997,0.998264,-3.987023
1.110000,0.000000,0.998155,-3.986328,0.998367,-3.987869,0.998296,-3.987283,0.998226,-3.987109,0.998351,-3.987717,0.998416,-3.987869,0.998237,-3.986784,0.998172,-3.985807,0.998378,-3.987739,0.998242,-3.986914
1.120000,0.000000,0.998193,-3.986697,0.998237,-3.987066,0.998253,-3.986957,0.998134,-3.986046,0.998345,-3.987652,0.997993,-3.985200,0.998280,-3.987131,0.998117,-3.986263,0.998286,-3.987457,0.998107,-3.986024
