T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999219,-3.994010,0.999262,-3.994358,0.999349,-3.994965,0.998806,-3.990885,0.999457,-3.996094,0.999175,-3.993663,0.999110,-3.993490,0.999371,-3.995312,0.999392,-3.995399,0.999436,-3.995660
1.010000,0.000000,0.999306,-3.995052,0.998958,-3.991840,0.999436,-3.995573,0.999306,-3.994705,0.999154,-3.993663,0.999327,-3.994792,0.999002,-3.992882,0.999154,-3.993750,0.999002,-3.992795,0.999392,-3.995312
1.020000,0.000000,0.999045,-3.992795,0.999045,-3.992622,0.999306,-3.994618,0.998806,-3.990885,0.999023,-3.992708,0.998763,-3.990625,0.999002,-3.992535,0.999023,-3.992361,0.999371,-3.994965,0.999197,-3.993750
1.030000,0.000000,0.998915,-3.991840,0.998958,-3.992101,0.998307,-3.988108,0.999023,-3.992622,0.998785,-3.990799,0.998763,-3.990451,0.998893,-3.991493,0.999197,-3.993750,0.999045,-3.992708,0.999175,-3.993663
1.040000,0.000000,0.999132,-3.993229,0.999110,-3.993142,0.998698,-3.990104,0.999067,-3.992969,0.999067,-3.993056,0.999089,-3.993403,0.998850,-3.991580,0.999045,-3.992795,0.998872,-3.991840,0.999067,-3.993056
1.050000,0.000000,0.998980,-3.991927,0.998850,-3.990972,0.998503,-3.989931,0.998003,-3.985069,0.998937,-3.991927,0.998481,-3.988368,0.998741,-3.990451,0.998698,-3.989931,0.998741,-3.990365,0.998741,-3.990365
1.060000,0.000000,0.999023,-3.992708,0.998785,-3.990799,0.998893,-3.991319,0.998763,-3.990625,0.998633,-3.990017,0.998872,-3.991580,0.998655,-3.989844,0.998720,-3.990625,0.998698,-3.990017,0.998806,-3.990885
1.070000,0.000000,0.998698,-3.990191,0.998481,-3.988715,0.998915,-3.991753,0.998329,-3.987760,0.998611,-3.989583,0.999002,-3.992535,0.998872,-3.991406,0.998481,-3.988542,0.998568,-3.989149,0.998937,-3.991840
1.080000,0.000000,0.998503,-3.988368,0.998806,-3.990972,0.999045,-3.992708,0.998828,-3.991233,0.998568,-3.989410,0.998741,-3.990191,0.998437,-3.988281,0.998676,-3.990191,0.998416,-3.987847,0.998633,-3.989757
1.090000,0.000000,0.998546,-3.989323,0.998372,-3.988108,0.998437,-3.988368,0.998459,-3.988802,0.998546,-3.988889,0.998351,-3.987674,0.998307,-3.987587,0.998199,-3.986719,0.998307,-3.987153,0.998546,-3.989063
1.100000,0.000000,0.998307,-3.987413,0.998307,-3.987587,0.998459,-3.988455,0.998134,-3.985677,0.998264,-3.987934,0.998264,-3.986892,0.998199,-3.987066,0.998437,-3.987760,0.998633,-3.989583,0.998481,-3.988455
1.110000,0.000000,0.998524,-3.988889,0.998199,-3.986024,0.997938,-3.985330,0.998112,-3.985764,0.998351,-3.987413,0.997960,-3.985069,0.997873,-3.984288,0.998286,-3.987066,0.998589,-3.989410,0.998090,-3.986024
1.120000,0.000000,0.997895,-3.984201,0.998307,-3.987066,0.998155,-3.986198,0.998286,-3.986892,0.998416,-3.987413,0.998633,-3.989497,0.998437,-3.988108,0.998437,-3.987934,0.998264,-3.986458,0.998155,-3.986198
1.130000,0.000000,0.997678,-3.983767,0.998112,-3.985590,0.998069,-3.984896,0.998155,-3.986458,0.998199,-3.986458,0.998134,-3.986024,0.997808,-3.983160,0.998155,-3.986111,0.997548,-3.981684,0.998242,-3.986458
1.140000,0.000000,0.998286,-3.987240,0.997808,-3.983854,0.997613,-3.982118,0.997873,-3.984201,0.997960,-3.984375,0.997873,-3.984635,0.998437,-3.988194,0.997656,-3.982726,0.997721,-3.982726,0.997852,-3.984375
1.150000,0.000000,0.997982,-3.985069,0.997678,-3.982726,0.997786,-3.984201,0.997873,-3.984722,0.997418,-3.979861,0.997830,-3.983681,0.998069,-3.985590,0.997309,-3.980556,0.997569,-3.982378,0.998025,-3.985590
1.160000,0.000000,0.997201,-3.979601,0.997461,-3.981163,0.997938,-3.984722,0.998025,-3.985243,0.997352,-3.980295,0.996940,-3.977344,0.997005,-3.978038,0.997201,-3.979774,0.997331,-3.980729,0.997895,-3.984375
1.170000,0.000000,0.997374,-3.980556,0.997461,-3.980729,0.997135,-3.978299,0.997483,-3.981510,0.997396,-3.980556,0.997222,-3.979601,0.997049,-3.978993,0.997830,-3.983507,0.997635,-3.982205,0.997483,-3.980903
1.180000,0.000000,0.997135,-3.978646,0.997244,-3.979340,0.996918,-3.977778,0.997135,-3.978472,0.997244,-3.979601,0.996766,-3.976302,0.997504,-3.981250,0.996832,-3.977083,0.997287,-3.980382,0.997569,-3.982292
1.190000,0.000000,0.997157,-3.978819,0.996745,-3.976302,0.997287,-3.980035,0.996636,-3.975260,0.997092,-3.979253,0.997678,-3.982639,0.997461,-3.981424,0.996680,-3.975781,0.997331,-3.979948,0.996853,-3.976823
1.200000,0.000000,0.997179,-3.978993,0.996832,-3.977257,0.996680,-3.975608,0.996984,-3.977431,0.996832,-3.976389,0.996549,-3.975000,0.997483,-3.981163,0.997005,-3.977778,0.996506,-3.975260,0.996658,-3.975434
