T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999094,-3.977783,0.999127,-3.978137,0.999216,-3.978601,0.999152,-3.978442,0.999097,-3.977863,0.999133,-3.978461,0.999109,-3.978113,0.999237,-3.979016,0.999167,-3.978265,0.999103,-3.978015
1.010000,0.000000,0.999002,-3.977191,0.998999,-3.977222,0.999152,-3.978375,0.999149,-3.978375,0.999075,-3.977722,0.999008,-3.977374,0.999106,-3.978070,0.999036,-3.977509,0.999152,-3.978314,0.999066,-3.977551
1.020000,0.000000,0.999030,-3.977307,0.998975,-3.977075,0.999097,-3.977673,0.998932,-3.976648,0.999097,-3.977899,0.999091,-3.977789,0.998917,-3.976678,0.998865,-3.976318,0.998907,-3.976740,0.999075,-3.977759
1.030000,0.000000,0.998926,-3.976599,0.998938,-3.976898,0.998956,-3.976825,0.998895,-3.976813,0.998828,-3.976074,0.998849,-3.976093,0.998978,-3.976990,0.998953,-3.976935,0.998898,-3.976410,0.998837,-3.976050
1.040000,0.000000,0.998755,-3.975659,0.998944,-3.976837,0.998764,-3.975531,0.998788,-3.975629,0.998843,-3.976489,0.998801,-3.975775,0.998727,-3.975275,0.998758,-3.975427,0.998831,-3.976160,0.998929,-3.976593
1.050000,0.000000,0.998657,-3.974799,0.998767,-3.975397,0.998630,-3.974622,0.998679,-3.974951,0.998767,-3.975757,0.998615,-3.974677,0.998743,-3.975500,0.998724,-3.975299,0.998633,-3.974634,0.998654,-3.974768
1.060000,0.000000,0.998553,-3.973920,0.998404,-3.973053,0.998566,-3.974048,0.998764,-3.975409,0.998624,-3.974457,0.998639,-3.974481,0.998602,-3.974475,0.998563,-3.974133,0.998593,-3.974359,0.998547,-3.974200
1.070000,0.000000,0.998560,-3.974030,0.998602,-3.974432,0.998502,-3.973828,0.998468,-3.973480,0.998627,-3.974646,0.998755,-3.975238,0.998605,-3.974335,0.998422,-3.973169,0.998380,-3.973010,0.998615,-3.974658
1.080000,0.000000,0.998489,-3.973584,0.998358,-3.972675,0.998468,-3.973303,0.998456,-3.973364,0.998489,-3.973755,0.998376,-3.972906,0.998343,-3.972589,0.998370,-3.972845,0.998367,-3.973138,0.998483,-3.973486
1.090000,0.000000,0.998425,-3.973053,0.998325,-3.972235,0.998340,-3.972693,0.998416,-3.973065,0.998422,-3.973138,0.998294,-3.972180,0.998120,-3.970770,0.998257,-3.971960,0.998483,-3.973529,0.998444,-3.973425
1.100000,0.000000,0.998181,-3.971442,0.998318,-3.972351,0.998193,-3.971429,0.998047,-3.970679,0.998169,-3.971405,0.998239,-3.971930,0.998486,-3.973523,0.998141,-3.971161,0.998148,-3.971234,0.998160,-3.971246
1.110000,0.000000,0.997958,-3.969830,0.998117,-3.971136,0.998059,-3.970642,0.997964,-3.969867,0.998193,-3.971808,0.997986,-3.970172,0.997961,-3.969891,0.998019,-3.970111,0.998047,-3.970435,0.997992,-3.970099
1.120000,0.000000,0.997900,-3.969519,0.998013,-3.969965,0.997977,-3.969922,0.997952,-3.969861,0.997998,-3.970251,0.997891,-3.969183,0.997894,-3.969501,0.997955,-3.969635,0.997964,-3.969910,0.997873,-3.969623
1.130000,0.000000,0.997784,-3.968805,0.997821,-3.968842,0.997742,-3.968207,0.997589,-3.967792,0.997696,-3.968127,0.997797,-3.968829,0.997672,-3.967865,0.997803,-3.968787,0.997760,-3.968634,0.997821,-3.969067
1.140000,0.000000,0.997470,-3.966315,0.997598,-3.967371,0.997577,-3.967438,0.997662,-3.967834,0.997662,-3.967993,0.997464,-3.966254,0.997650,-3.967688,0.997403,-3.966138,0.997534,-3.967004,0.997845,-3.968970
1.150000,0.000000,0.997287,-3.965210,0.997476,-3.966449,0.997458,-3.966040,0.997385,-3.965857,0.997421,-3.965900,0.997614,-3.967218,0.997522,-3.966870,0.997519,-3.966669,0.997409,-3.966132,0.997568,-3.966943
1.160000,0.000000,0.997290,-3.965137,0.997430,-3.966095,0.997180,-3.964514,0.997467,-3.966339,0.997202,-3.964874,0.997385,-3.965704,0.997208,-3.964563,0.997388,-3.965619,0.997287,-3.965137,0.997202,-3.964923
1.170000,0.000000,0.997061,-3.963721,0.997119,-3.964429,0.997311,-3.965277,0.997064,-3.963342,0.996970,-3.963086,0.996973,-3.963202,0.997101,-3.964526,0.997165,-3.964758,0.996899,-3.962744,0.996997,-3.963434
1.180000,0.000000,0.996921,-3.962177,0.997003,-3.963318,0.997049,-3.963635,0.996774,-3.962268,0.996973,-3.962952,0.996924,-3.962708,0.997125,-3.964032,0.996808,-3.961517,0.997000,-3.962750,0.997131,-3.964020
1.190000,0.000000,0.996841,-3.962183,0.996762,-3.961176,0.996634,-3.960565,0.996640,-3.961084,0.996710,-3.961206,0.996951,-3.962811,0.996786,-3.961877,0.996786,-3.961859,0.997015,-3.963135,0.996750,-3.961414
1.200000,0.000000,0.996671,-3.961072,0.996872,-3.962103,0.996487,-3.960004,0.996515,-3.959851,0.996625,-3.960724,0.996521,-3.959790,0.996667,-3.960858,0.996719,-3.960828,0.996405,-3.958752,0.996506,-3.959918
1.210000,0.000000,0.996439,-3.959155,0.996417,-3.959076,0.996332,-3.958948,0.996527,-3.959778,0.996478,-3.959039,0.996307,-3.958569,0.996542,-3.960516,0.996478,-3.959644,0.996381,-3.959418,0.996335,-3.958417
