T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.996875,-3.487500,0.993750,-3.475000,0.993750,-3.468750,0.993750,-3.481250,0.996875,-3.487500,0.987500,-3.456250,0.987500,-3.450000,0.996875,-3.481250,0.993750,-3.468750,1.000000,-3.500000
1.010000,0.000000,0.987500,-3.456250,0.993750,-3.462500,0.993750,-3.475000,0.993750,-3.462500,0.990625,-3.450000,0.984375,-3.425000,0.987500,-3.437500,0.993750,-3.462500,0.978125,-3.406250,0.993750,-3.475000
1.020000,0.000000,0.996875,-3.487500,0.990625,-3.468750,0.987500,-3.450000,0.996875,-3.487500,0.990625,-3.456250,0.984375,-3.425000,1.000000,-3.500000,0.990625,-3.456250,0.987500,-3.450000,0.996875,-3.481250
1.030000,0.000000,0.993750,-3.475000,0.993750,-3.462500,0.990625,-3.456250,0.996875,-3.487500,0.993750,-3.468750,1.000000,-3.500000,0.981250,-3.425000,0.990625,-3.456250,0.987500,-3.443750,0.978125,-3.431250
1.040000,0.000000,0.993750,-3.481250,0.987500,-3.468750,0.996875,-3.487500,0.984375,-3.425000,0.996875,-3.481250,0.968750,-3.406250,0.990625,-3.443750,0.984375,-3.462500,1.000000,-3.500000,0.981250,-3.418750
1.050000,0.000000,0.984375,-3.418750,1.000000,-3.500000,0.993750,-3.468750,0.990625,-3.462500,0.975000,-3.387500,0.993750,-3.475000,0.987500,-3.450000,0.996875,-3.481250,0.990625,-3.450000,0.990625,-3.456250
1.060000,0.000000,0.987500,-3.431250,0.984375,-3.456250,0.996875,-3.487500,0.990625,-3.456250,0.975000,-3.418750,0.984375,-3.431250,0.990625,-3.462500,0.993750,-3.475000,0.984375,-3.406250,0.993750,-3.475000
1.070000,0.000000,0.987500,-3.425000,0.993750,-3.475000,0.996875,-3.481250,0.993750,-3.456250,0.996875,-3.475000,1.000000,-3.500000,0.984375,-3.450000,0.993750,-3.462500,0.990625,-3.456250,0.990625,-3.468750
1.080000,0.000000,0.962500,-3.343750,0.996875,-3.487500,1.000000,-3.500000,0.990625,-3.456250,0.993750,-3.481250,0.996875,-3.487500,0.978125,-3.425000,0.993750,-3.468750,0.996875,-3.481250,0.965625,-3.387500
1.090000,0.000000,0.984375,-3.443750,0.965625,-3.381250,0.987500,-3.456250,0.987500,-3.468750,0.978125,-3.393750,0.996875,-3.481250,0.996875,-3.487500,0.987500,-3.450000,0.978125,-3.431250,0.987500,-3.437500
1.100000,0.000000,0.981250,-3.406250,0.993750,-3.456250,0.987500,-3.443750,0.984375,-3.443750,0.987500,-3.450000,0.984375,-3.437500,0.984375,-3.425000,0.978125,-3.412500,0.978125,-3.412500,0.981250,-3.406250
1.110000,0.000000,0.987500,-3.443750,0.981250,-3.412500,0.981250,-3.406250,0.975000,-3.412500,0.975000,-3.400000,0.978125,-3.418750,0.987500,-3.450000,1.000000,-3.500000,0.975000,-3.425000,0.975000,-3.400000
1.120000,0.000000,0.993750,-3.468750,0.993750,-3.462500,0.978125,-3.406250,0.987500,-3.431250,0.978125,-3.400000,0.987500,-3.437500,1.000000,-3.500000,0.959375,-3.368750,0.984375,-3.437500,0.981250,-3.418750
1.130000,0.000000,0.984375,-3.431250,0.971875,-3.381250,0.981250,-3.406250,0.993750,-3.475000,0.993750,-3.456250,0.984375,-3.437500,0.990625,-3.456250,0.981250,-3.412500,0.996875,-3.481250,0.950000,-3.281250
1.140000,0.000000,0.984375,-3.425000,0.993750,-3.475000,0.987500,-3.456250,0.962500,-3.331250,0.993750,-3.468750,0.987500,-3.437500,0.981250,-3.406250,0.990625,-3.456250,0.990625,-3.443750,0.993750,-3.481250
