T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.998437,-3.739063,0.996875,-3.737500,0.997656,-3.737500,0.999219,-3.743750,0.997656,-3.740625,0.997656,-3.740625,0.998437,-3.742188,0.989844,-3.703125,0.996875,-3.734375,0.997656,-3.739063
1.010000,0.000000,0.996094,-3.731250,0.997656,-3.735937,0.995313,-3.721875,0.996875,-3.734375,0.999219,-3.745312,0.993750,-3.718750,0.997656,-3.737500,0.992188,-3.725000,0.998437,-3.743750,0.991406,-3.712500
1.020000,0.000000,0.998437,-3.740625,0.996094,-3.729687,0.999219,-3.745312,0.997656,-3.734375,0.998437,-3.740625,0.998437,-3.742188,0.998437,-3.739063,0.999219,-3.746875,0.996875,-3.735937,0.996875,-3.734375
1.030000,0.000000,0.999219,-3.743750,0.992969,-3.725000,0.993750,-3.714062,0.994531,-3.726563,0.996094,-3.728125,0.993750,-3.720312,0.999219,-3.745312,0.998437,-3.739063,0.990625,-3.726563,0.998437,-3.739063
1.040000,0.000000,0.997656,-3.737500,0.983594,-3.685938,0.989844,-3.703125,0.998437,-3.743750,0.998437,-3.739063,0.990625,-3.709375,0.997656,-3.732813,0.998437,-3.739063,0.992969,-3.715625,0.998437,-3.739063
1.050000,0.000000,0.993750,-3.726563,0.994531,-3.729687,0.997656,-3.735937,0.998437,-3.740625,0.997656,-3.735937,0.999219,-3.745312,0.999219,-3.745312,0.996875,-3.731250,0.996094,-3.728125,0.997656,-3.740625
1.060000,0.000000,0.996875,-3.735937,0.996094,-3.729687,0.994531,-3.717188,0.996875,-3.729687,0.998437,-3.743750,0.997656,-3.739063,0.996875,-3.729687,0.995313,-3.728125,0.995313,-3.728125,0.994531,-3.718750
1.070000,0.000000,0.994531,-3.721875,0.996094,-3.725000,0.995313,-3.725000,0.994531,-3.725000,0.996875,-3.731250,0.997656,-3.737500,0.995313,-3.734375,0.996875,-3.735937,0.992969,-3.720312,0.997656,-3.737500
1.080000,0.000000,0.996094,-3.734375,0.995313,-3.729687,0.996875,-3.732813,0.995313,-3.726563,0.998437,-3.740625,0.999219,-3.746875,0.992969,-3.706250,0.989844,-3.701563,0.993750,-3.726563,0.996094,-3.731250
1.090000,0.000000,0.994531,-3.725000,0.996875,-3.734375,0.993750,-3.721875,0.992188,-3.707813,0.994531,-3.720312,0.996875,-3.734375,0.996875,-3.728125,0.994531,-3.726563,0.996875,-3.734375,0.997656,-3.739063
1.100000,0.000000,0.983594,-3.690625,0.991406,-3.704687,0.997656,-3.742188,0.998437,-3.740625,0.992188,-3.714062,0.982031,-3.675000,0.997656,-3.735937,0.989844,-3.695313,0.995313,-3.721875,0.992969,-3.721875
1.110000,0.000000,0.996875,-3.731250,0.996094,-3.732813,0.991406,-3.695313,0.994531,-3.725000,0.996875,-3.728125,0.995313,-3.735937,0.993750,-3.714062,0.997656,-3.737500,0.994531,-3.715625,0.996094,-3.721875
1.120000,0.000000,0.994531,-3.720312,0.995313,-3.728125,0.997656,-3.735937,0.993750,-3.715625,0.993750,-3.715625,0.995313,-3.726563,0.994531,-3.717188,0.996094,-3.731250,0.996094,-3.729687,0.992969,-3.718750
1.130000,0.000000,0.994531,-3.720312,0.993750,-3.717188,0.992969,-3.725000,0.992969,-3.707813,0.995313,-3.732813,0.993750,-3.721875,0.996094,-3.729687,0.992969,-3.720312,0.994531,-3.720312,0.994531,-3.717188
1.140000,0.000000,0.990625,-3.706250,0.995313,-3.721875,0.994531,-3.718750,0.987500,-3.689062,0.996094,-3.728125,0.992969,-3.706250,0.994531,-3.721875,0.992188,-3.709375,0.992969,-3.717188,0.985938,-3.682812
1.150000,0.000000,0.993750,-3.721875,0.997656,-3.735937,0.992188,-3.725000,0.993750,-3.721875,0.992969,-3.710938,0.993750,-3.717188,0.994531,-3.715625,0.990625,-3.712500,0.993750,-3.710938,0.992188,-3.715625
1.160000,0.000000,0.990625,-3.692188,0.983594,-3.651562,0.993750,-3.715625,0.990625,-3.701563,0.983594,-3.675000,0.993750,-3.721875,0.993750,-3.715625,0.997656,-3.737500,0.992969,-3.710938,0.990625,-3.696875
1.170000,0.000000,0.986719,-3.681250,0.989062,-3.698437,0.987500,-3.710938,0.985938,-3.684375,0.981250,-3.668750,0.986719,-3.678125,0.992969,-3.712500,0.991406,-3.709375,0.989844,-3.704687,0.994531,-3.717188
1.180000,0.000000,0.990625,-3.703125,0.990625,-3.700000,0.989062,-3.693750,0.988281,-3.684375,0.989844,-3.704687,0.991406,-3.703125,0.992188,-3.700000,0.987500,-3.685938,0.996094,-3.734375,0.993750,-3.709375
1.190000,0.000000,0.989844,-3.695313,0.978906,-3.687500,0.993750,-3.718750,0.991406,-3.709375,0.987500,-3.676563,0.986719,-3.690625,0.992969,-3.704687,0.996875,-3.734375,0.992188,-3.710938,0.982031,-3.690625
1.200000,0.000000,0.989844,-3.707813,0.988281,-3.687500,0.996875,-3.739063,0.992188,-3.701563,0.992969,-3.709375,0.980469,-3.656250,0.995313,-3.728125,0.980469,-3.678125,0.992969,-3.712500,0.989062,-3.700000
1.210000,0.000000,0.993750,-3.710938,0.996094,-3.725000,0.985156,-3.676563,0.989844,-3.689062,0.985156,-3.665625,0.996094,-3.725000,0.989844,-3.692188,0.989844,-3.696875,0.994531,-3.718750,0.990625,-3.710938
