T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.998486,-3.928223,0.998926,-3.930273,0.998926,-3.930469,0.998975,-3.930957,0.999316,-3.932520,0.998584,-3.927734,0.998926,-3.930371,0.999219,-3.932129,0.998633,-3.928809,0.998584,-3.929395
1.010000,0.000000,0.999072,-3.931543,0.999023,-3.931055,0.998096,-3.926660,0.998535,-3.928418,0.998535,-3.927148,0.998145,-3.926465,0.998730,-3.929492,0.999023,-3.931250,0.999072,-3.931055,0.998584,-3.929102
1.020000,0.000000,0.998926,-3.931055,0.998584,-3.928320,0.998633,-3.928125,0.998535,-3.929004,0.998682,-3.929395,0.998682,-3.928418,0.998779,-3.930469,0.998779,-3.929004,0.998291,-3.926953,0.998975,-3.930859
1.030000,0.000000,0.998633,-3.928809,0.998975,-3.930469,0.998340,-3.926758,0.998242,-3.925879,0.997949,-3.925586,0.998193,-3.925684,0.998535,-3.927930,0.999023,-3.930469,0.998340,-3.926953,0.998535,-3.928027
1.040000,0.000000,0.997900,-3.923828,0.998242,-3.925879,0.998682,-3.928418,0.998389,-3.927246,0.998389,-3.927344,0.999072,-3.931348,0.998877,-3.930859,0.998340,-3.926074,0.998535,-3.928320,0.998584,-3.927539
1.050000,0.000000,0.998047,-3.924707,0.998535,-3.927832,0.998682,-3.928809,0.997803,-3.922754,0.998340,-3.926758,0.997949,-3.926074,0.997998,-3.925098,0.997559,-3.923145,0.998193,-3.926563,0.997266,-3.921875
1.060000,0.000000,0.997998,-3.924609,0.998535,-3.929395,0.998291,-3.927539,0.997705,-3.923828,0.997998,-3.925195,0.998389,-3.928223,0.997803,-3.924414,0.997656,-3.922754,0.998340,-3.926270,0.998145,-3.924902
1.070000,0.000000,0.998291,-3.926660,0.998584,-3.927637,0.998389,-3.926074,0.997949,-3.925586,0.998047,-3.925586,0.997559,-3.921582,0.997217,-3.920703,0.998535,-3.928516,0.997559,-3.922754,0.997998,-3.924121
1.080000,0.000000,0.997607,-3.922656,0.998389,-3.927539,0.997559,-3.923340,0.997510,-3.919922,0.997314,-3.920703,0.997607,-3.921680,0.997607,-3.922559,0.997900,-3.924023,0.997705,-3.923242,0.998535,-3.928027
1.090000,0.000000,0.997070,-3.919531,0.998633,-3.927930,0.997705,-3.925098,0.997852,-3.923047,0.997705,-3.923633,0.997412,-3.921680,0.997656,-3.922070,0.997412,-3.921094,0.998242,-3.926367,0.997998,-3.925098
1.100000,0.000000,0.997266,-3.919824,0.997559,-3.921582,0.997461,-3.920508,0.998096,-3.924805,0.997217,-3.919238,0.997900,-3.923437,0.997412,-3.920898,0.997656,-3.921289,0.997363,-3.921289,0.998389,-3.926953
1.110000,0.000000,0.997754,-3.923242,0.997070,-3.918164,0.997412,-3.919727,0.997266,-3.921680,0.997119,-3.919043,0.997656,-3.921973,0.997949,-3.923437,0.996338,-3.916309,0.997852,-3.922754,0.997412,-3.919434
1.120000,0.000000,0.997559,-3.922852,0.997168,-3.919141,0.996338,-3.913965,0.995410,-3.910352,0.997021,-3.917969,0.997266,-3.919043,0.997656,-3.923926,0.998096,-3.925684,0.997217,-3.919434,0.997119,-3.919336
1.130000,0.000000,0.997168,-3.920020,0.996973,-3.916992,0.997412,-3.920801,0.997266,-3.918945,0.996826,-3.916016,0.997217,-3.921582,0.997412,-3.920117,0.997266,-3.920215,0.996582,-3.915234,0.996924,-3.918652
1.140000,0.000000,0.996484,-3.915430,0.997607,-3.923047,0.996875,-3.917285,0.996484,-3.915332,0.996973,-3.916797,0.997559,-3.920801,0.997119,-3.920215,0.996533,-3.914746,0.996680,-3.916113,0.996729,-3.916406
1.150000,0.000000,0.996240,-3.912109,0.996240,-3.912500,0.996436,-3.915723,0.997021,-3.917187,0.995947,-3.912695,0.996533,-3.915430,0.996533,-3.916797,0.996533,-3.916016,0.996484,-3.916699,0.995703,-3.912988
