T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.998889,-3.960767,0.998853,-3.960889,0.999207,-3.963501,0.998999,-3.962500,0.999182,-3.963208,0.999072,-3.962769,0.999170,-3.962939,0.999023,-3.961816,0.999133,-3.962769,0.999023,-3.961914
1.010000,0.000000,0.998914,-3.961230,0.998975,-3.961133,0.999048,-3.962012,0.999170,-3.962817,0.998901,-3.961523,0.999341,-3.964062,0.999023,-3.962158,0.999097,-3.962524,0.998975,-3.961841,0.998999,-3.961670
1.020000,0.000000,0.998743,-3.960083,0.998718,-3.959937,0.998730,-3.960303,0.999133,-3.962842,0.998901,-3.961133,0.998804,-3.960254,0.998889,-3.961304,0.998694,-3.960156,0.998560,-3.959302,0.998865,-3.960840
1.030000,0.000000,0.998560,-3.958862,0.998755,-3.960425,0.998730,-3.959888,0.998804,-3.960474,0.999084,-3.962549,0.998975,-3.961792,0.998718,-3.960010,0.998560,-3.958618,0.998743,-3.959985,0.998889,-3.961084
1.040000,0.000000,0.998535,-3.958911,0.998877,-3.961133,0.998706,-3.960107,0.998706,-3.959497,0.998621,-3.959595,0.998792,-3.960034,0.998755,-3.959985,0.998804,-3.960327,0.998499,-3.958545,0.998669,-3.959253
1.050000,0.000000,0.998657,-3.959277,0.998621,-3.959033,0.998682,-3.960059,0.998657,-3.959448,0.998474,-3.958252,0.998462,-3.958423,0.998608,-3.959033,0.998242,-3.956714,0.998376,-3.957861,0.998437,-3.957983
1.060000,0.000000,0.998291,-3.957275,0.998303,-3.958276,0.998560,-3.958716,0.998376,-3.957446,0.998218,-3.956836,0.998560,-3.959204,0.998218,-3.956885,0.998401,-3.957324,0.998413,-3.957495,0.998730,-3.959961
1.070000,0.000000,0.998242,-3.956494,0.998254,-3.957007,0.998254,-3.956812,0.998303,-3.957202,0.998279,-3.957568,0.998267,-3.956860,0.998291,-3.956958,0.998218,-3.956738,0.998584,-3.959009,0.998474,-3.958472
1.080000,0.000000,0.998462,-3.958032,0.998157,-3.956030,0.998315,-3.956909,0.998572,-3.958691,0.998206,-3.956274,0.998181,-3.956763,0.998743,-3.959668,0.998340,-3.957227,0.998572,-3.959204,0.998218,-3.957153
1.090000,0.000000,0.997864,-3.954590,0.997937,-3.954346,0.998267,-3.956396,0.998010,-3.954565,0.998108,-3.956250,0.997949,-3.955615,0.998083,-3.956030,0.998169,-3.956177,0.998230,-3.956641,0.998242,-3.956323
1.100000,0.000000,0.998071,-3.955615,0.997827,-3.954248,0.998279,-3.956958,0.997864,-3.954443,0.998254,-3.956763,0.997986,-3.955127,0.997876,-3.954150,0.997791,-3.953857,0.997913,-3.954932,0.997888,-3.954199
1.110000,0.000000,0.997986,-3.954126,0.997864,-3.953687,0.997485,-3.952197,0.998096,-3.954980,0.997961,-3.954492,0.997815,-3.953418,0.997839,-3.954346,0.997510,-3.951489,0.997803,-3.954395,0.997571,-3.952124
1.120000,0.000000,0.997644,-3.953101,0.997400,-3.952002,0.997693,-3.953491,0.997595,-3.952319,0.997632,-3.952441,0.998108,-3.955762,0.997949,-3.954590,0.997974,-3.954492,0.997607,-3.952637,0.997620,-3.952734
1.130000,0.000000,0.997278,-3.950708,0.997473,-3.951807,0.997668,-3.952710,0.997388,-3.950830,0.997534,-3.951514,0.997473,-3.952026,0.997571,-3.952563,0.997668,-3.952710,0.997705,-3.953369,0.997534,-3.952075
1.140000,0.000000,0.997241,-3.949683,0.997522,-3.951709,0.997021,-3.948120,0.997241,-3.949805,0.997314,-3.950464,0.997437,-3.951465,0.997180,-3.949243,0.996875,-3.947314,0.996960,-3.948804,0.997363,-3.950586
