T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.998242,-3.864844,0.998828,-3.867188,0.998242,-3.865234,0.997852,-3.863672,0.998437,-3.864844,0.998437,-3.866016,0.999023,-3.870312,0.998437,-3.864844,0.997852,-3.865234,0.997656,-3.865234
1.010000,0.000000,0.998437,-3.868359,0.997461,-3.857813,0.998242,-3.864063,0.997656,-3.863281,0.998047,-3.863672,0.998242,-3.864063,0.998633,-3.866406,0.999023,-3.868359,0.997656,-3.864063,0.998242,-3.864063
1.020000,0.000000,0.998242,-3.864844,0.998437,-3.866797,0.998437,-3.864844,0.998437,-3.865234,0.996094,-3.855469,0.995313,-3.846484,0.998242,-3.863672,0.997070,-3.858203,0.998047,-3.863672,0.997656,-3.860937
1.030000,0.000000,0.998828,-3.867969,0.997656,-3.860937,0.998828,-3.867578,0.998047,-3.865625,0.998242,-3.864063,0.997852,-3.861719,0.996484,-3.854687,0.998633,-3.866797,0.995898,-3.853125,0.999219,-3.869531
1.040000,0.000000,0.997852,-3.861719,0.996680,-3.853906,0.996875,-3.860937,0.996289,-3.855469,0.998242,-3.861719,0.997070,-3.860156,0.999023,-3.869922,0.998047,-3.861719,0.997852,-3.860937,0.998242,-3.864063
1.050000,0.000000,0.998437,-3.864453,0.995313,-3.853516,0.997266,-3.862500,0.998242,-3.862500,0.998242,-3.862500,0.997656,-3.862109,0.998242,-3.861719,0.999414,-3.871484,0.996289,-3.855078,0.997852,-3.861719
1.060000,0.000000,0.996680,-3.856250,0.997461,-3.857422,0.996875,-3.863672,0.998437,-3.866797,0.993945,-3.845312,0.998047,-3.862109,0.997852,-3.860156,0.995898,-3.858984,0.997266,-3.857031,0.999023,-3.868359
1.070000,0.000000,0.997461,-3.862109,0.996875,-3.855078,0.998828,-3.867188,0.996094,-3.853516,0.996484,-3.855469,0.996680,-3.855469,0.996094,-3.854297,0.997656,-3.860937,0.995898,-3.852344,0.997852,-3.862500
1.080000,0.000000,0.997461,-3.858594,0.996875,-3.857813,0.998633,-3.866016,0.996094,-3.852734,0.997070,-3.857813,0.997070,-3.857813,0.995898,-3.853125,0.997656,-3.859766,0.995898,-3.853516,0.994922,-3.846875
1.090000,0.000000,0.997852,-3.862891,0.997852,-3.860937,0.998828,-3.867578,0.997656,-3.860937,0.995703,-3.850781,0.996680,-3.857031,0.998242,-3.865625,0.997852,-3.861328,0.996875,-3.855469,0.997266,-3.857422
1.100000,0.000000,0.996484,-3.855078,0.996484,-3.855078,0.995313,-3.848828,0.995703,-3.853125,0.997070,-3.862109,0.997852,-3.861328,0.997266,-3.857422,0.995703,-3.851953,0.996680,-3.855078,0.996875,-3.857813
1.110000,0.000000,0.994727,-3.842969,0.992383,-3.842578,0.997070,-3.857031,0.997266,-3.856250,0.996484,-3.857422,0.994922,-3.846484,0.996875,-3.858203,0.992578,-3.843750,0.995703,-3.850781,0.995117,-3.846484
1.120000,0.000000,0.994531,-3.848047,0.996680,-3.856250,0.995117,-3.852344,0.995313,-3.848438,0.997656,-3.860547,0.994531,-3.842969,0.995508,-3.850391,0.995703,-3.849609,0.997461,-3.858594,0.996094,-3.850391
1.130000,0.000000,0.995703,-3.845703,0.995508,-3.854297,0.997070,-3.858984,0.995703,-3.849609,0.995313,-3.849219,0.996094,-3.854687,0.996289,-3.854687,0.995508,-3.853516,0.995703,-3.849219,0.996680,-3.853125
1.140000,0.000000,0.995898,-3.851953,0.992383,-3.832422,0.996289,-3.852344,0.994336,-3.841406,0.994922,-3.844922,0.995508,-3.850000,0.994336,-3.843750,0.994727,-3.845312,0.995898,-3.851563,0.994922,-3.847656
